Resource Type: ALL
Anomaly Type: ALL
Traffic Direction: Outgoing
Anomaly Status: ALL
Minimum Severity: Yellow
Start Time: 2020/10/29 12:00
Until: 2020/11/1 12:59
Duration: 
Traffic Amount: 
Victim/Infected IP Prefix: 


No., ID, CHK, Impact, Status, Start Time / End Time, Duration, Direction, Type, Resource
70,100249,,Yellow /623.91 Mbps /  over 50.00 Mbps / max 623.91 Mbps,Recovered,11-01 06:2211-01 06:25,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
71,100248,,Yellow /614.59 Mbps /  over 50.00 Mbps / max 614.59 Mbps,Recovered,11-01 06:1711-01 06:20,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
72,100247,,Yellow /619.08 Mbps /  over 50.00 Mbps / max 619.08 Mbps,Recovered,11-01 06:1211-01 06:15,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
73,100246,,Yellow /617.00 Mbps /  over 50.00 Mbps / max 617.00 Mbps,Recovered,11-01 06:0711-01 06:10,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
74,100245,,Yellow /611.27 Mbps /  over 50.00 Mbps / max 611.27 Mbps,Recovered,11-01 06:0211-01 06:05,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
75,100244,,Yellow /628.25 Mbps /  over 50.00 Mbps / max 628.25 Mbps,Recovered,11-01 05:5711-01 06:00,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
76,100243,,Yellow /588.74 Mbps /  over 50.00 Mbps / max 588.74 Mbps,Recovered,11-01 05:5211-01 05:55,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
77,100242,,Yellow /566.21 Mbps /  over 50.00 Mbps / max 566.21 Mbps,Recovered,11-01 05:4711-01 05:50,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
78,100241,,Yellow /644.81 Mbps /  over 50.00 Mbps / max 644.81 Mbps,Recovered,11-01 05:4211-01 05:45,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
79,100240,,Yellow /592.04 Mbps /  over 200.00 Mbps / max 592.04 Mbps,Recovered,11-01 05:3711-01 05:40,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
80,100239,,Red /539.87 Mbps /  over 50.00 Mbps / max 539.87 Mbps,Recovered,11-01 05:3611-01 05:40,04:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
81,100238,,Yellow /522.55 Mbps /  over 200.00 Mbps / max 522.55 Mbps,Recovered,11-01 05:3111-01 05:34,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
82,100237,,Red /164.38 Mbps /  over 50.00 Mbps / max 445.34 Mbps,Recovered,11-01 05:3111-01 05:35,04:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
